"and he said , "" well , "" it 's a <unk> , "" <unk> , "" </s> . </s> . ""
","durch übersetzung ist mir zum beispiel bewusst geworden , dass "" glück "" im chinesischen wörtlich übersetzt "" schnelle freude "" bedeutet . !
",21,23
"now , i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to the <unk> .
","unter diesen stellten wir uns das dach als neuen öffentlichen raum mit und bars vor , der diese urbane oase erschafft .
",32,21
"so i 'm going to see here , and i 'm going to see here .
","am allermeisten jedoch , war es am ende einfach , zum mond zu fliegen .
",15,14
"so , we 're trying to do , and we 're trying to do , and we 're trying to do , and we 're trying to be able to be able to make it .
","zusätzlich wählten wir einige strategische punkte in an das konzept dieser tore und verbanden sie mit geraden linien , und das veränderte das ursprüngliche muster .
",35,25
"and it 's not the <unk> , but it 's the <unk> .
","ich denke nicht , dass das die schuld der allgemeinen ist .
",12,11
"and what do we have to do is that you have to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be
","was wir im bildungswesen am besten messen können ist der iq . aber was , wenn vorankommen in schule und leben von viel mehr abhängt als der fähigkeit schnell und leicht zu lernen ?
",48,33
""" </s> . ""
",""" baum "" .
",3,3
"and you do n't know that you do n't have to do n't have to be <unk> .
","als er ankommt , gibt es auch dort keine möglichkeiten , keine arbeit , keinen ausweg .
",17,16
"and this is the <unk> .
","mein großer durchbruch war 2010 .
",5,5
"now , you have a few minutes .
","davon gibt es meiner ansicht nach drei .
",7,7
"a group of people are sitting in a <unk> .
","er gründete eine mit .
",9,4
"now , this is the <unk> of the <unk> .
",""" wissen zu teilen , ist die größte aller .
",9,9
"so , we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be used . </s> </s> </s>
","das ist wie im eis , nur anstatt der schichten , die klimawandel anzeigen , sucht man schichten , die menschliche anzeigen .
",41,22
"we 're trying to do it .
","zweitens , kommen wir zum ziel .
",6,6
"i wanted to do something to do it .
","also startete ich ein mit ihnen .
",8,6
"and i do n't know , but i do n't know , but i do n't see it . </s> .
","dieser mensch ist der und der dringlichkeit worden . und es passiert gar nichts .
",20,14
"and then they 're trying to do it .
","erkannte die gelegenheit und ergriff sie .
",8,6
"and i 'm going to talk about the <unk> , and i 'm going to talk about <unk> .
","im alter von 27 verließ ich einen job in der für einen noch : unterrichten .
",18,15
"i do n't want to be able to be able to be able to be able to be able to do . </s> </s>
","sie waren aber durchaus besorgt , dass ich zu vielleicht verhungern könnte .
",23,12
"it 's a little bit like , but it 's a little bit like it .
","aber wenn man sich diesen film oft genug anschaut , erkennt man , wie außergewöhnlich er eigentlich ist .
",15,18
"and he said , "" well , he said , and he said , and he said , and he said , and he said , you know , you know , you know , </s> .
","es gibt eine menge guter literatur über den einfluss , den filme über gewalttätige jungs auf mädchen haben , und diese sollten sie lesen . sie ist sehr gut .
",36,29
"a man in a black shirt is standing in front of his head .
","die namen aus einem alten jahrbuch , das ich auf dem flohmarkt gekauft habe .
",13,14
"we can do it .
","aber wir brauchen mehr .
",4,4
"so we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able . </s> </s> </s>
","um diesen platzierten wir die idee von einem markt mit kleinen läden , die sich in jeder etage , wegen der form des , ändern .
",43,25
"i want to talk about what i want to do .
","auf der anderen seite des spektrums lernte ich
",10,7
"i 'm going to talk about <unk> , and i 'm going to the <unk> .
","ich schrieb sogar an den und an den moderator einer .
",15,10
"and you know , you know , you know , right ?
","vertrauen sie politikern ? vertrauen sie lehrern ?
",11,7
"they 're doing . </s> .
","die wirtschaft braucht sie .
",5,4
"and then , they were <unk> , and they were <unk> .
","es war ein haufen typen und einige wenige damen , von ganz unterschiedlichem alter und .
",11,15
"so , we 're trying to do , and we 're trying to use the <unk> , and we 're trying to use the <unk> .
","effektiv haben wir die schwerkraft ausgeschaltet und kontrollieren die bewegung , indem wir magnetische , mechanischen antrieb und diese kombinieren .
",25,20
"now , i 'm going to be able to be able to be able to be able to be able to go . </s> .
","hoffentlich zu beginn des nächsten jahres , denn wir haben die konstruktion bis zum 5 . stock bereits fertig .
",24,19
"but what is that we do is , is that it 's going to be <unk> , right ?
","wir sind doch alle gute bürger der sozialen medien , bei denen die währung neid ist . stimmt 's ?
",18,19
"and i wanted to do it , and i wanted to do it , and i wanted to do it into a <unk> .
","braucht also seine hilfe , es ihm und im laufe der geschichten sozusagen vor .
",23,14
"and he said , "" well , "" well , "" </s> . ""
","außerdem ist die beste zeit an alex ' ehe zu arbeiten , die , bevor sie verheiratet ist . ""
",13,19
"thank you .
","ja .
",2,1
"and he said , "" well , "" well , "" well , "" well , "" well , "" well , and he said , "" you know , "" you know , ""
","es gibt einige gute szenen , in denen männer in diesem versteck tiefe , von angst erfüllte gespräche führen und der große moment , den eine der hat , ist durch eine tür zu spähen und zu sagen : "" kommst du ins bett , liebling ? ""
",34,47
"so we 're going to get a lot of <unk> .
","sie sich nach betrachten hunderte von zufälligen zahlen ein .
",10,9
"and he was a <unk> , and he was a <unk> , and he was <unk> , and he was a <unk> , and he was a <unk> , and he was a <unk> , he was a <unk> .
","er ist tatsächlich der erste , den seit 22 jahren gesehen hat , und bis vor kurzem , bevor da war , benutzte man künstliche , die per schiff aus dem ausland kamen , wenn man blumen auf seiner hochzeit haben wollte .
",39,42
"he said , "" i 'm going to be a <unk> , "" </s> </s>
","und ich wusste , dass ich bald vom "" "" zu "" verrückter bester freundin "" aufsteigen würde .
",14,18
"a woman in a white shirt is standing in the street , and she <unk> .
","und dann gehst du in dein haus und siehst das krümelmonster auf dem rücken von mr. ed .
",15,17
"it 's not the <unk> , right ? </s> .
","welch ungeheure , wenn auch , kreativität . stimmt 's ?
",9,10
"and i do n't know , what do you do you do it ?
","keiner da , um mich etwas zu lehren ? auch gut .
",13,11
"he said , "" he said , "" </s> . ""
","diese person sich aus der tür . "" flüchten "" , "" ausweichen "" .
",10,14
"and i 've been able to make a lot .
","und ich habe einen ganzen haufen wirklich interessanter dinge gelernt .
",9,10
"and i do n't want to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to do . </s> </s>
","die beste zeit , um eure ehe zu planen , ist , bevor ihr eine habt und das bedeutet , genauso in der liebe zu sein wie bei eurer .
",42,29
"and he said , "" what do you do you do you ? ""
","wie halte ich sie für motiviert ? ""
",13,7
"you do n't do n't want to be able to do it . </s> .
","es bedeutet , dass man die karriere , die man machen will , nicht machen kann .
",14,16
"and i 'm going to talk about this data , and i 'm going to see the data .
","also schufen wir einige , die wir nutzten , um das projekt zu realisieren .
",18,14
"they do n't want to do it .
","aber das bekommen leute in den 20ern nicht zu hören .
",7,10
"i do n't have to do it .
","ich habe eine menge wirklich interessanter leute getroffen .
",7,8
"we 're going to do that we 're going to do , and we 're going to make a new way .
","tricks die funktionieren , weil sie auf einigen einfachen ideen über die funktionsweise unseres aufbauen .
",21,15
"and that 's not the <unk> .
","uns es war nicht soziale intelligenz .
",6,6
"this is a <unk> <unk> .
","das ist etwas aus einem roman von .
",5,7
"i 've got to do .
","er beginnt ein neues leben .
",5,5
"now , we 're going to be able to be able to be able to be able to be able to do . </s> . </s> .
","ich habe gelernt , dass das gedächtnis , in jedem von uns , unglaubliche kapazitäten besitzt .
",26,16
"and i do n't know , i do n't know , but i do n't know , but i do n't know , ""
","oder sie sagen : "" alle sagen , solange ich es mit 30 jahren geschafft habe , meine karriere zu starten , ist alles gut . ""
",23,26
"it 's the <unk> of the <unk> .
","das problem , dass die veranstaltungen sind .
",7,7
"and i 've been able to get a lot of data .
","meine reise mit hat mich an ein paar sehr besondere orte gebracht .
",11,12
"now , you know , you know , you know , <unk> . </s> .
",""" die gute erde "" handelt vom leben der chinesischen bauern .
",14,11
"now , i 'm going to tell you that you 're going to be a <unk> . </s> .
","aber für einen scheint sie so wie die große mauer von china zu sein .
",18,14
"and then we 're trying to do it .
","wir denken an den kleinen jungen , der versucht zu schlafen .
",8,11
"he said , "" well , he said , "" you know , ""
","die formulierung "" an erster stelle "" heißt eigentlich : "" an erster stelle in deinem . ""
",13,17
"and i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able . </s> . </s> .
","jetzt ist also die zeit für diesen internationalen job , dieses praktikum , diesen , den ihr versuchen .
",41,18
"and they 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to the <unk> . </s>
","es kommt einem vor , als hätten uns technologen abgelenkt und sich selbst mit spielzeugen bereichert . mit dingen wie iphones und apps und sozialen medien , oder algorithmen , die automatischen beschleunigen .
",41,33
"it 's a <unk> . </s> .
","ihr war natürlich .
",6,3
"thank you very much . thank you very much . thank you .
","das ist die folie , die mich daran erinnert , die bühne zu verlassen . vielen dank .
",12,17
"i do n't want to do it .
","ihr entscheidet gerade jetzt über euer leben .
",7,7
"and i 'm going to talk about it , and i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to make it . </s> . </s> .
","wir wissen , dass das gehirn sein zweites und letztes großes wachsen in den 20ern und sich für das erwachsenenalter verdrahtet , was bedeutet , dass was auch immer ihr an euch verändern wollt , jetzt die zeit wäre , dies zu tun .
",47,43
"and i do n't know , i do n't know , but i do n't know what i do . </s> .
","und da sagte mein betreuer : "" noch nicht , aber vielleicht sie den nächsten .
",21,15
"and i 'm going to say , "" i 'm going to say , "" i 'm going to say , "" i 'm going to say , ""
","aber ich denke , wenn "" der zauberer von oz "" heutzutage produziert worden wäre , hätte der zauberer gesagt : "" , du bist die von oz , die uns einst wurde .
",28,33
"and i want to say , "" </s> . ""
","die frage blieb mir und ich sie :
",9,7
"and he said , "" well , "" what do you do you do you do you do you know , "" </s>
","und ich fragte ihn , "" ed , wann hast du bemerkt , dass du diese besondere begabung hast ? ""
",22,20
"and this is a good idea .
","darin steckt eine wichtige moral .
",6,5
"i want to do something that i want to be able to be able to be able to be able to be able to be able to be able to be able to be able to do . </s> .
","ich möchte ihnen eine andere geschichte über eine behauptung , ein ziel und eine aufgabe erzählen , die einen viel besseren ansatz auf die sache bieten .
",39,26
"and i want to talk about what i want to do .
","ich bin journalist , ich brauche etwas , worüber es lohnt zu schreiben .
",11,13
"we have to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","die , die zu einer art metapher wurde für die fähigkeit der technologie , große probleme zu lösen , erfüllte diese kriterien .
",36,22
"this is a <unk> , and this is called <unk> .
","zweitens , sagte ich : die urbane ist überbewertet .
",10,9
"that 's the thing .
","das stimmt .
",4,2
"i do n't know .
","ich bekam die rolle nicht .
",4,5
"now , i 'm going to talk about <unk> <unk> .
","und dann ist da das , was ich unsere durchschnittliche , nötige , alltägliche geschwindigkeit nenne .
",10,16
"and so , we 're going to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to make it . </s> . </s> .
","wir wissen , dass die persönlichkeit sich während der 20er öfter verändert als irgendwann sonst im leben und dass die fruchtbarkeit der frauen mit 28 ihren höhepunkt erreicht und dass nach 35 die dinge kompliziert werden .
",46,36
"and they 're going to do , and they 're going to be able to be able to be able to be able to be <unk> .
","das sind überreste davon , als die menschen über und rhetorik in räumlichen begriffen dachten .
",26,15
"and they 're going to do that they 're going to do .
","sie sind so allgegenwärtig , dass sie zum klischee geworden sind .
",12,11
"and then , i had to be able to be able to be able to be able to be able to the <unk> . </s> .
","der grund für meinen diesen monat in war eigentlich die ausrichtung eines für junge führungskräfte und unternehmer .
",25,17
"and i do n't know , i do n't know , but i do n't know what i do n't want to do .
","ihr werdet vielleicht denken , dass es mit 30 besser ist , sich niederzulassen als mit 20 oder 25 , und ich stimme euch zu .
",23,25
"you can see the <unk> <unk> .
","wir denken an ein stück kuchen , in .
",6,8
"and so , we 've been able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to make it . </s> .
","wenn sie nicht den müll entfernten , jeden tag effizient und effektiv , würde er aus den und die damit verbundenen gefahren würden uns bedrohen auf sehr wege .
",45,28
"now , i 'm going to say , i 'm going to say , "" <unk> , "" <unk> <unk> , "" <unk> , "" <unk> <unk> .
","als es nichts mehr gab , was ihn dort hielt , verließ er sein dorf und ging in die stadt , in diesem fall , , die hauptstadt .
",27,28
"and we 're going to do it .
","sie haben unser leben verlängert und bereichert .
",7,7
"he said , "" well , <unk> . </s> .
","die arme kreatur steht unter verdacht .
",9,6
"now , i 'm going to be able to be able to be able to be able to go .
","heute habe ich als beispiel dafür , aktuelle projekte mitgebracht .
",19,10
"and you can see the <unk> , and you can see it .
","du den , den es sich in den mund schiebt .
",12,10
"and he said , "" </s> . ""
","heute ist "" exil "" zu "" hinausgehen "" geworden .
",7,10
"and it 's a little bit like this , and it 's a <unk> , and it 's going to be able to be able to be able to the brain . </s> .
","es gab allerdings einen interessanten und unterschied zwischen dem gehirn eines und dem einer , mit dem es verglichen wurde .
",33,20
"and we 're going to do that , and we 're going to be able to be able to be able to be able to be able to make it . </s> .
","viele dieser dinge sind und wie forschungsergebnisse jetzt zeigen einfach und so alles auf einmal in den 30ern .
",32,18
"it 's a little thing .
","aber das ist so ungerecht .
",5,5
"and i 'm going to say , i 'm going to say , i 'm going to go back to go back to go to go back to go .
","letzten monat bin ich wieder nach gefahren und ich ging zum , dem krankenhaus , wo ich geboren wurde .
",29,19
"and i do n't know , i do n't know , but i do n't want to do it .
","niemand kann sagen , wer anwesend war , niemand weiß , wo wer gesessen hat .
",19,15
"i 'm going to see that i 'm going to see a <unk> <unk> <unk> <unk> .
","das erste beispiel begann mit einer einladung , ein einkaufszentrum in äthiopiens hauptstadt zu entwerfen .
",16,15
"and this is called <unk> , and this is called <unk> , which is called <unk> , which is called <unk> . </s> .
","am 21 . juli 1969 kletterte aus der apollo 11 und stieg hinab auf das meer der ruhe .
",23,18
"it 's a <unk> , it 's a little bit . </s> .
","einfach zu merken , weil ein baum ziemlich ist .
",12,9
"and he said , "" well , he said , he said , he said , he said , he said , you know , you know , you know . </s> .
","und freud sagt : dieser mann ist irgendwie seltsam , weil er nicht einmal hinschaut , was seine frau macht .
",32,20
"and i do n't know , i do n't know , but i do n't have a <unk> .
","meine eltern konnten sich keine leisten , also schickten sie mich zur .
",18,12
"i do n't want to do it , but i want to do it .
","dies ist eine idee , die alle 20er erreichen sollte , die ihr kennt .
",14,14
"and he said , "" i do n't know , "" i do n't know , ""
","viele leute mit cp laufen nicht , aber meine eltern glaubten nicht an ein "" kann nicht "" .
",16,18
"two people are sitting in front of them .
","geh an ihm vorbei , vorbei in dein wohnzimmer .
",8,9
"we can be able to be able to be able to be able to be . </s> . </s> .
","aber dies ist ein modell , was in der zukunft nicht wiederholt werden kann .
",19,14
"it 's a little bit like to do it .
","man muss ihnen eine basis geben , dass sie einem vertrauen .
",9,11
"and they said , ""
","wir sind stolz auf sie . ""
",4,6
"and i do n't know that you do n't know that you know that you do n't know that your life ?
","also dachte ich , wenn lesen in der forschung funktioniert , warum nicht auch im täglichen leben ?
",21,17
"i do n't know what i do .
","die ehrliche antwort : ich weiß es nicht .
",7,8
"but i do n't know , but i do n't know , but it does n't have to be a little bit better .
","wir reden oft von menschen mit gutem gedächtnis , als wäre es eine besondere begabung , aber das stimmt so nicht .
",23,21
"and then , we 're going to be able to be able to be able to the <unk> , and <unk> .
","apollo schuf arbeitsplätze für 400.000 menschen und die zusammenarbeit von 20.000 unternehmen , universitäten und behörden .
",21,16
"now , we do n't have to be able to be able to be able to be able to be more . </s> . </s> .
","ein anderes mal können wir die großen probleme nicht lösen , weil unsere politischen systeme scheitern .
",25,16
"and this is a few years ago , and this is a <unk> , and it 's a <unk> , and it 's a <unk> , and it 's a <unk> , and it 's a <unk> .
","während dieser analyse ich besonders auf die medina , das ist die 1000 jahre alte struktur , die von einer mauer war , durch 12 tore zugänglich , und durch fast gerade linien verbunden war .
",37,35
"and i 'm going to talk about the <unk> , and i 'm going to go into a <unk> , and i 'm going to get a <unk> .
","ich durfte in einem film mit adam spielen und mit meinem idol , dem wunderbaren dave , arbeiten .
",28,18
"and he said , "" well , "" well , "" i 've got a <unk> . ""
","tatsächlich bin ich diese woche ins kino gegangen , um mir einen sehr guten film anzusehen , "" "" .
",17,19
"and he said , "" i 'm going to go back and i 'm going to go . "" </s> .
","erst später begann ich meine nachforschungen über und traf den mann wieder .
",20,12
"and they 're going to do that they 're going to build their <unk> .
","die nächste gruppe mit acht schriftzeichen bildet zusammen weitere 32 wörter .
",14,11
"a woman in a red shirt is standing in a <unk> <unk> .
","so hatte sie eine gute ausrede , ein kleid zu tragen und einen .
",12,13
"a man in a white shirt is playing .
","bäcker tragen komische weiße mützen .
",8,5
"i do n't know what i do .
","ich weiß nicht , was ich machen soll .
",7,8
"so i want to do it .
","jetzt kann ich auch auf dem kopf stehen .
",6,8
"now , i 'm going to be able to be able to be able to be able to be able to be able to be able to be able to be able to a day . </s> .
","die erste umsetzung war , darüber nachzudenken , wie wir das gebäude machen könnten , in einer stadt , die fast täglich hat .
",37,23
"and i do n't want to be able to be able to be able to be able to be able to be able to be able to be able to be able to do it .
","in ihrem alltag , im ablauf ihrer leben , wenn sie das nächste mal jemanden sehen , dessen job es ist , hinter ihnen sauber zu machen , nehmen sie einen moment zeit , sie wahrzunehmen .
",35,36
"and he said , "" i 'm going to say , "" i 'm going to say , "" i 'm going to say , "" </s> . ""
","ich liebe es , meine eigenen mit meinen kindern anzuschauen . als meine tochter vier jahre alt war , haben wir zusammen "" der zauberer von oz "" geschaut .
",28,29
"you know , you know , you know , you know , you know , you know , you know , <unk> . </s>
","journalisten denken sich dumme spitznamen für leute in den 20ern aus wie "" "" oder "" "" [ ] .
",23,19
"and i do n't know , but i do n't know , i do n't know , but i do n't know , i do n't know , i do n't know , i do n't know , i 'm going to go .
","ich musste mich also am tisch des festhalten , damit ich während der szene nicht aus dem bildschirm rollte , und als das interview vorbei war , war ich außer mir .
",43,31
"i do n't know what i do n't do .
","ich verstehe nicht , warum ich mich so gut dabei gefühlt habe .
",9,12
"and i do n't know , i do n't know , but i do n't know that i 'm going to be able to be able to do it .
","stelle dir eine absolut verrückte und geschichte mit bildern vor , um dich daran zu erinnern , dass du als erstes über diesen total verrückten wettkampf sprechen möchtest .
",29,28
"and we 're trying to do , and we 're trying to make a new way to make it .
","in den 20ern sollte man sich also über den körper und die eigenen möglichkeiten .
",19,14
"a man in a red shirt is standing in a <unk> .
","am ende kommt er in einem außerhalb von unter .
",11,9
"and then i want to do it . </s> .
","ich möchte euch einladen eure augen zu schließen .
",9,8
"and it 's not because they 're <unk> , but they 're <unk> .
","das geschieht jeden tag , überall . normale leute tun es , beamte , , sehr effektiv .
",13,17
"and he said , "" well , "" well , ""
","setzen sie eine unter dem baum und sie haben eine "" basis "" .
",10,13
"and he said , "" well , and he said , and he said , and he said , "" </s> .
","das machte alex ' 20er zur optimalen und wir saßen da und sie .
",21,13
"and it 's not just to be able to be able to be able to be able to be . </s> .
","nein , die gründe , warum wir keine großen problem lösen können , sind komplizierter und .
",21,16
"and this is the <unk> .
","brown bekam die rolle .
",5,4
"and i 'm going to say , "" i 'm going to be a <unk> . ""
","es war das erste , was ihn aus einem zustand , den wir "" "" nennen .
",16,16
"it 's a <unk> .
","endlich frei ! endlich frei !
",4,5
"it 's a very difficult to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to do
","schüler können dies nutzen , um komplexe konzepte wie und physik zu lernen . und anders als bei oder ist diese eine reale und greifbare erfahrung , die man berühren und kann , und sie ist sehr mächtig .
",48,38
"and i 'm going to talk about it , and i 'm going to talk about it .
","und das hat mich in den bann gezogen , ich wollte wissen , wie diese leute das machen .
",17,18
"he said , "" well , "" well , "" </s> </s>
","er war die vorlage für charakter in dem film "" man . ""
",11,12
"now , we 're not going to be <unk> .
","natürlich bücher , die in china verboten sind .
",9,8
"now , we 're going to be a few years ago , but we 're going to be <unk> , and we 're going to be <unk> . </s> .
","in einer stadt , in der das nicht passieren sollte , denn sie haben ziemlich wetter , das im ganzen jahr zwischen 20 bis 25 grad liegt .
",29,27
"and he said , "" what do you know , "" </s> </s>
","– dann würden sie wohl fragen : "" inwiefern genau ? ""
",12,11
"i do n't have to be able to be able to do something . </s> .
","sie hatten nie wirklich darüber nachgedacht , ein unternehmen zu gründen .
",15,11
"they do n't know .
","man muss also vertrauenswürdig sein .
",4,5
"and it 's a little bit like this is a little bit of <unk> , and it 's a little bit of <unk> , and it 's a little bit like a little bit of <unk> .
","und dieser abstand ist kleiner geworden , kleiner und immer kleiner , und nun ist er kleiner als ein millimeter , die dicke einer , und computer sind für jeden erreichbar geworden .
",36,32
"now , i 'm going to talk about what i 'm going to talk about is that i 'm going to talk about what i 'm going to do .
","das ist die art von gebäude , die uns , meinem team und mir , als beispiel für das , was wir entwerfen sollten , gezeigt wurde .
",29,27
"and i do you know , what do you do you know ?
","sie wissen , wovon ich rede , oder ?
",12,8
"it 's a little bit like a <unk> .
","sie brauchen nur 1.000 schriftzeichen für ein einfaches .
",8,8
"and i 'm going to say , "" i 'm going to do n't know that i 'm going to do n't know that i 'm going to do n't know , i 'm going to do n't know that i 'm going to go .
","als alex in die erste sitzung kam , trug sie jeans und ein top . sie fiel auf das sofa in meinem büro , ihre sandalen von sich und erzählte mir , sie wäre da , um über zu reden .
",45,40
"we do n't have to be able to be able to be able to be able to be able to do it . </s> . </s> .
","sie zwingen uns zu verarbeiten und aufmerksam zu sein , in einer art und weise , in der wir es normalerweise nicht sind .
",26,23
"and i do n't know , i do n't know , but i do n't know , but i do n't know , but i do n't know , </s> .
","und ich bin sehr froh darüber , dass ich nicht viele freunde habe , die kompetent und verlässlich , aber sind .
",30,21
"he said , "" </s> . ""
","drei feuer zusammen ergeben viele "" flammen "" .
",6,8
"we do n't do it . </s> .
","es ist ja nichts falsch mit den meisten dieser dinge .
",7,10
"and then , i was going to go to go to go back to school .
","damals gab es nur sechs araber in meiner stadt und alle waren meine familie .
",15,14
"a man in a white shirt is standing on the other side of the <unk> .
","und so nimmt er die bei der hand und führt sie durch die trümmer zu den verstorbenen .
",15,17
"and then , we were trying to build a <unk> .
","ich brachte rund 90 junge führungskräfte zusammen .
",10,7
"and i did n't know that i did n't know , but i did n't know , and i did n't know , i did n't know , </s> .
","ich gab allen und mir selbst gab ich , weil ich doch auch die ganze zeit anwesend war .
",29,18
"and i 'm going to talk about it , and i 'm going to talk about <unk> .
","ich liebe die tatsache , dass mein und mein wohnort die gleichen haben .
",17,13
"and he said , "" well , "" well , "" well , "" well , "" what do you know , "" </s>
","als ich meine tochter fragte , wer ihre in "" star wars "" sei , wissen sie , was sie da gesagt hat ?
",23,23
"it 's what you do .
","eifersucht mag details .
",5,3
"and i was a little bit more interesting .
","und das war der anfang einer sehr seltsamen reise für mich .
",8,11
"a little boy is playing . </s> .
","einem pferd .
",7,2
"and then , i wanted to help them , and they wanted to help them to help them .
","er bekommt ein wenig geld , um sich neue kleidung zu kaufen und um geld nach hause zu seiner familie zu schicken .
",18,22
"and i do n't have to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to be . </s> .
","durchhaltevermögen ist , wenn man sich an einen hält , nicht nur für eine woche oder einen monat , sondern für jahre , und wirklich hart arbeitet , um diesen plan zu verwirklichen .
",45,33
"and i thought , "" well , "" well , "" well , "" well , "" well , do you know that you know , "" </s> ?
","ich erinnere mich , wie ich vor diesem krankenhaus stand und mich fragte , was wäre , wenn ich nie von hier wäre ?
",28,23
"and what we 're doing is .
","das ist die arbeit , die vor uns liegt .
",6,9
"and i do n't know that i do n't want to be able to be able to be able to be able to be able to be able to be able to be able to be able to be able to go . </s> </s>
","ich verbrachte meine sommer in einem , weil meine eltern angst hatten , dass wir , wenn wir nicht jeden einzelnen sommer nach palästina zurückgehen , eines tages wie werden .
",44,30
"and we do n't know that we do n't know , but we do n't know , but we do n't know what 's going to do .
","ich weiß nicht . ich denke , es ist einfach hart an der , denn denken sie mal nach , was geschieht , wenn wir eifersüchtig sind .
",27,27
"now , i 'm going to talk about 10 minutes .
","wir haben es hier in den letzten zwei tagen bei ted gehört .
",10,12
"i do n't know what i do .
","ich bin nicht sicher , was ich antworten soll .
",7,9
"and i 'm going to do something that you 're going to be able to be able to be able to be able to be able to be able to be able to do it . </s> .
","da fenster und dateien eine position im tatsächlichen raum haben , kann man sie so leicht auswählen , wie man ein buch von einem regal greift .
",37,26
"and he was a <unk> , and he was a <unk> , he was a <unk> , he was a <unk> .
","weil das billiger war , lebte sie mit ihrem freund zusammen , der mehr sein temperament als seine ließ .
",21,19
"they 're not going to do that they 're going to do .
","vielleicht würden wir dann nicht jemandes exzellenz .
",12,7
"and i do n't know , i do n't know , but i do n't know , i do n't know , i do n't know , i do n't have a <unk> .
","in den nächsten wochen und monaten gab ich emma drei ratschläge , die jeder , egal , ob mann oder frau , hören sollte .
",33,24
"and i do n't know that i do n't know , but i do n't know that i do n't have to do it .
","es war nett , sich reden zu können und telefonnummern und aber das war nicht , was ich erzielen wollte .
",24,20
"and i 'm going to talk about it , and i 'm going to do it .
","und ich bekam eine frau in den 20ern , die über jungs reden wollte .
",16,14
"thank you .
","genau .
",2,1
"and he said , "" well , he said , he said , he said , he said , he said , he said , "" he said , "" he said , "" </s> .
","ich wuchs in taiwan als tochter eines auf . zu meinen schönsten erinnerungen zählt , wie meine mutter mir die schönheit , die gestalt und die form der chinesischen schriftzeichen zeigte .
",35,31
"a woman in a red shirt is sitting on her hand .
","lächelt sie zu sehr oder stößt sie zufällig mit einem mann zusammen ?
",11,12
"and they 're going to do that they 're going to do .
","es ist schon aufregend , wenn sich jemand die reibt .
",12,10
"now , i 'm going to tell you that this is that you 're going to see in <unk> .
","für zeitgenossen war apollo nicht nur ein sieg des westens über den osten während des kalten krieges .
",19,17
"and they said , ""
","wir sollten für sie beten . ""
",4,6
"now , we 're going to say that we 're going to be a <unk> .
","wir wissen , dass eifersucht der hauptgrund für mord unter in den usa ist .
",15,14
"and they 're not going to do that they 're going to be able to be able to be . </s> .
","manchmal sind tiefgründige probleme , die technisch lösbar erschienen , doch nicht so .
",21,13
"you do n't know what you do .
","weil sie unschuldig ist , und jeder weiß das .
",7,9
"and we 're going to do that , and we 're going to be able to be able to make it . </s> .
","es gibt die blöcke mit und im erdgeschoss gibt es diese ganzen verbindungen für fußgänger .
",23,15
"and he said , "" he said , "" he said , "" he said , "" he said , "" and he said , "" he said , and he said , "" </s> . ""
","das ist die geschichte , die er sich erzählt , und von da an schreibt , dass jeden neuen reiz , den er an seiner geliebten entdeckt , zu seiner "" in seiner privaten "" hinzufügt .
",36,36
"and i do n't know that i do n't know that i do n't know , but i do n't know , i do n't know , i do n't have a <unk> .
","während meiner kindheit in maine war es eine meiner liebsten , nach an den küsten von maine zu suchen , weil meine eltern behaupteten , das bringe glück .
",33,28
"do you know , right ?
","vertrauen sie ?
",5,2
"now , i 'm going to talk about <unk> and <unk> .
","sie haben gelesen , wie die new die rollen von hausfrau und verändert .
",11,13
"you can see it .
","sie werden durcheinander .
",4,3
"i do n't say , "" </s> . ""
","gott sei dank , ich bin endlich frei ! ""
",8,9
"and i 'm going to say , "" i 'm going to go .
","ich fuhr nicht nur mit den lastwagen . ich fuhr die lastwagen .
",13,12
"a man in a red shirt and a <unk> .
","eifersucht mag langes haar und kleine niedliche .
",9,7
"and i do n't have to be able to be able to do it . </s> .
","es hat spaß gemacht , weil es nicht darum geht , das gedächtnis zu trainieren .
",16,15
"he said , "" well , he said , he said , "" he said , "" it 's a <unk> . "" </s>
","der englische begriff "" "" , ein das thema satz , kommt vom griechischen wort "" "" , was "" stätte "" bedeutet .
",23,23
"thank you .
","vielen dank .
",2,2
"so we 're trying to make a new way to make a new way to make a new way to make a different colors .
","deshalb nutzten wir um eine karte der landschaft anzufertigen , um durch leichte veränderungen sehen zu können ,
",24,17
